Name,Sex.sightings,Date.Sighting,Season,Body.Temp.C,Location,Catch.date,Catch.Sex,SVL,Weight.g.,Lat,Long,ConspecificDensity,NumOverlap50,kdarea,density50
Bongo,Male,10/12/2012,3,20.5,Spec,14/03/2013,Male,252,700,-27.46283333,153.01875,0.037383178,18,321,0.056074766
Dumpling,Male,7/12/2012,3,20.4,Broms,11/03/2013,Male,260,750,-27.46263333,153.0193167,0.018934911,14,845,0.016568047
Felix,Male,14/02/2013,3,38.7,Broms,14/03/2013,Male,269,800,-27.46273333,153.0195167,0.013669821,27,951,0.028391167
Felix,Male,14/02/2013,3,38.7,Broms,22/08/2012,Male,NA,NA,-27.46273333,153.0195167,0.013669821,27,951,0.028391167
Holly,Female,23/03/2013,3,39.4,Lake,NA,NA,NA,NA,-27.46236667,153.0179667,0.017391304,17,345,0.049275362
Jack,Male,10/12/2012,3,21,Broms,29/08/2012,Male,NA,NA,-27.46281667,153.0194167,0.015761821,9,571,0.015761821
Jack,Male,10/12/2012,3,21,Broms,22/08/2012,Male,NA,NA,-27.46281667,153.0194167,0.015761821,9,571,0.015761821
Jack,Male,10/12/2012,3,21,Broms,20/08/2012,Male,NA,NA,-27.46281667,153.0194167,0.015761821,9,571,0.015761821
Lars,Male,18/09/2012,3,12.3,Lake,15/03/2013,Male,248,925,-27.4626,153.0179667,0.02244389,11,401,0.027431421
Lars,Male,18/09/2012,3,12.3,Lake,24/08/2012,Male,263,850,-27.4626,153.0179667,0.02244389,11,401,0.027431421
